model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
mean_baseline,JET,2628,2.2979113854581947,-12.270607947896975,3081857.7652176213,True
ridge_loglinear,JET,2628,0.17604592548610207,0.92211098332146,496254.47330486774,True
random_forest,JET,2628,0.9394598120124048,-1.2180977359828726,2119789.483089659,True
hist_gradient_boosting,JET,2628,0.8317041259714063,-0.7384490903299616,1955920.9541084836,True
mean_baseline,AUG,2130,0.8656785049858714,-5.771500792065192,555479.9116022133,True
ridge_loglinear,AUG,2130,0.22045692749438783,0.5608436505337918,85588.93106809404,True
random_forest,AUG,2130,0.4605385590829751,-0.9164772191302191,120742.32764351681,True
hist_gradient_boosting,AUG,2130,0.384636354871363,-0.33681812779067033,129520.541418537,True
mean_baseline,ASDEX,431,2.361415928321225,-73.83640148865717,849389.9490084779,True
ridge_loglinear,ASDEX,431,0.4046369866652219,-1.1973491761448884,29903.45276985288,True
random_forest,ASDEX,431,0.26471123657122564,0.05959988578615838,17885.819192346593,True
hist_gradient_boosting,ASDEX,431,0.2591112386612383,0.09896757403949819,17925.53520180302,True
mean_baseline,D3D,388,0.5067770575322947,-0.13337873778663267,241058.97714318035,True
ridge_loglinear,D3D,388,0.2607673231000358,0.6999127750380596,144409.6057320283,True
random_forest,D3D,388,0.3946111818306343,0.31280507320216333,313872.7630419,True
hist_gradient_boosting,D3D,388,0.3977745586113872,0.3017431982703147,325284.47550761333,True
mean_baseline,NSTX,185,1.6730217963557203,-32.56775318724823,673437.4952845237,True
ridge_loglinear,NSTX,185,0.26078835777877873,0.1843657125094541,33685.128619542455,True
random_forest,NSTX,185,0.8668111500593239,-8.010897581603588,213827.9078359356,True
hist_gradient_boosting,NSTX,185,0.7735685423490694,-6.1765658862899455,178974.25228711363,True
mean_baseline,JT60U,100,0.7093131810570975,-1.7491995975717871,757014.2077745966,True
ridge_loglinear,JT60U,100,0.3335759509291087,0.39197746397775424,528394.2969277999,True
random_forest,JT60U,100,0.29197546772033933,0.534174845594432,417367.6559290178,True
hist_gradient_boosting,JT60U,100,0.28807061119192406,0.5465513439372714,448014.8775977147,True
mean_baseline,PDX,97,2.6522004217462616,-67.54309074307652,772243.7944106137,True
ridge_loglinear,PDX,97,0.2770796690492496,0.25189884607180923,14404.592705849655,True
random_forest,PDX,97,0.329170592969655,-0.055827729467953446,17186.16741239203,True
hist_gradient_boosting,PDX,97,0.27828867934136015,0.24535606894280926,12755.02489187976,True
mean_baseline,JFT2M,69,3.6098341706088437,-488.6382755098714,811207.9837922666,True
ridge_loglinear,JFT2M,69,0.20380480773300322,-0.5607369270492517,4339.597876128986,True
random_forest,JFT2M,69,0.48367991511354286,-7.79056852309497,13688.734528240375,True
hist_gradient_boosting,JFT2M,69,0.3646295206445277,-3.995793854456492,9569.131877396836,True
mean_baseline,PBXM,59,1.9442330885828334,-89.59784516355778,695662.3817161513,True
ridge_loglinear,PBXM,59,0.1962524794577024,0.07689412954968855,19902.065775643096,True
random_forest,PBXM,59,1.2519668546071605,-36.567030775639125,86191.4848929549,True
hist_gradient_boosting,PBXM,59,0.8945963320657596,-18.181185021590547,66562.06775633448,True
mean_baseline,CMOD,45,1.6251953760220095,-124.53767011540636,648567.2687805308,True
ridge_loglinear,CMOD,45,0.16058419525342293,-0.22565575139590321,20514.633697294972,True
random_forest,CMOD,45,0.770860412868487,-27.243232081769822,182729.3324257761,True
hist_gradient_boosting,CMOD,45,0.6524218704923824,-19.23112019449307,143617.38898168324,True
mean_baseline,MAST,39,2.4683981237890396,-302.8322682683701,743983.5006970521,True
ridge_loglinear,MAST,39,0.24052770405237792,-1.8849194527988784,16019.02384332303,True
random_forest,MAST,39,0.5052877256494711,-11.731541140209556,42932.124209287875,True
hist_gradient_boosting,MAST,39,0.4696669731062281,-9.999767967303987,39277.54022156812,True
